,score_1,score_2,score_3
Gifu,50.78650029898062,43.55388676986183,54.49498092495487
MG100,63.48603485725358,43.336232086038066,60.51291147832034
MG101,68.58426969989209,67.21483111030675,71.78387210502518
MG102,63.84349064700401,48.69684336143705,62.57645770002605
MG103,59.242319537979654,43.88672173083924,67.72424305055885
MG104,50.189970424668076,69.49562234753317,67.77037031501636
MG105,58.453856170168585,63.21263358207968,46.98860839181957
MG106,63.107058756360104,61.218317807170116,53.18091956983465
MG107,54.58095593415582,66.7528116042577,43.21607663915993
MG109,63.53986912317674,63.80844892997698,56.17496619241238
MG10,75.82060158966134,52.07823023632254,59.910081622164064
MG110,64.15808560289673,61.88614082209508,60.42662248504928
MG111,61.12199374265119,56.085630535861,53.044573261743615
MG112,52.96983443208396,53.147259441561886,52.674703897010104
MG113,53.67062101723425,58.92167729168334,59.66728075208314
MG115,58.54266248981635,62.46678159899572,53.443864239050505
MG116,63.76882689094895,63.36565001472549,41.517812712442904
MG117,50.803825038086146,54.79014182104767,55.75967646412271
MG118,71.66190831946977,63.04025329672659,54.60403950779343
MG119,72.33553803230308,53.93964482811893,40.47868157270974
MG11,71.86286377603774,49.450871025787805,54.40523227227259
MG120,69.79151949591157,53.29268908717675,47.24297201076187
MG121,77.96613834915438,59.914452565327586,46.04680686553209
MG122,63.459287214114696,56.816613218003134,51.897008481450115
MG123,71.41293926129003,46.04589547472318,49.50420808438297
MG124,66.24178342993429,38.726148231576175,61.24389543687058
MG125,66.1311341746252,46.605000237340576,47.50095277896587
MG126,67.70037060004563,48.21618610004313,53.487177766258476
MG127,67.93068517611816,54.00690873888201,50.524443130362485
MG128,63.01945227991729,57.41767512336692,56.75968041937416
MG129,60.14016858395348,49.62081191302016,60.21931104469103
MG12,66.70584009053012,49.305624339208414,48.99083943348958
MG130,65.52900947151939,56.17321465398095,58.423387347871184
MG131,58.33720920106165,58.89436065837986,56.54142891785111
MG132,65.21804626348639,55.002491218322874,53.08809855459363
MG133,65.68903581850955,49.20091042039778,53.33346977161533
MG134,67.48442016445617,45.42855614492637,56.32953328362847
MG135,64.96895586374555,42.75060554651097,54.15745032504223
MG136,59.04412998346789,44.62752861093521,55.478353158974485
MG137,65.81684754379813,48.59185266040837,62.97483342049661
MG138,66.61496506967893,53.17458590694079,56.07303961808381
MG139,60.630617640675204,58.63217472050385,58.04886400973327
MG13,68.88197550921893,56.129886199588235,56.99264466503141
MG140,77.11443746992342,49.24793085268938,55.63206959451478
MG141,64.11529040813201,48.846578042596754,62.38890304909842
MG142,67.39201122068893,57.70605933087804,58.04066268556505
MG143,74.52012324181885,51.810927673563484,53.03910737886711
MG144,64.5192010389466,75.5728373452523,56.25700721922107
MG145,66.8461925670484,53.20344650347727,45.40805949360372
MG146,64.75669929429694,37.82207594047659,53.073286786649945
MG148,61.49197787827288,45.81384866235597,56.65705024008781
MG149,58.69148338848438,56.06181844462169,58.88801331129279
MG14,68.6855348563822,48.94930217817681,40.20311207248596
MG150,63.73487065012635,46.69377399842723,62.413367744372096
MG151,65.03505571876346,46.73676709131843,62.921045393977266
MG152,63.96487756566751,52.466837100500214,61.439967213924334
MG154,56.243073529596806,55.74330803575408,64.67249501315173
MG156,66.7047742996402,43.19153824956216,56.81381458275671
MG15,64.56834845919118,60.47019306038105,49.04209198646238
MG162,69.03058262391448,53.2092968325061,59.33236411672359
MG163,63.24652830330958,53.24757739013262,58.87828961110384
MG16,67.26819192831209,45.78031525842416,48.72259081183676
MG170,68.02571415573124,67.9559065162843,59.07315286609554
MG172,64.59037681148493,48.81227528035521,52.66609324197479
MG176,63.500131039880046,54.56823717105643,62.78124764735837
MG187,66.64738785864989,39.97251304167787,52.36029806541784
MG188,65.66093023928629,52.14649604821994,55.444011906103626
MG18,71.39955511016734,52.29564085436066,39.90125392680851
MG196,61.31896325764349,49.75815990042981,61.90986067998888
MG198,62.19993425722373,49.134082835250766,62.55517933596439
MG19,63.545926756567674,61.58421921878007,54.10597882367238
MG1,68.31816526215655,66.07925255795216,45.128102485615464
MG201,59.968753295676535,45.83840123897172,50.58320627645512
MG202,68.44143215412555,44.51860798979486,56.26381177571704
MG203,60.44195586334493,40.530273847768456,52.92716518435093
MG204,58.63489727705978,45.691140855716284,47.90771601314375
MG205,54.36663409314676,50.77883741499615,50.60073654439352
MG206,54.596982054677845,56.48111709980709,44.97447442940886
MG207,62.65917049653252,46.90211576647557,49.70861707195986
MG209,59.04076592839252,28.155502523730085,52.95116079751672
MG20,66.05531457194884,64.16069226844999,59.05679605039984
MG21,63.96978816561495,46.307226883784395,56.07146293827153
MG221,65.49222027635788,50.713036499003316,50.76318091838846
MG222,58.968912303825306,48.58118859854873,56.21384412458911
MG225,63.80257262493409,35.24944490923535,57.27900883424414
MG22,70.68080512145114,57.2337799259889,46.003755588032746
MG23,66.00031331069982,58.47314844484383,59.09194220822078
MG24,58.94433298550079,57.02384901006231,57.37274948400589
MG25,63.73528457678418,45.70449449387009,53.37418997084167
MG26,68.37947646312887,48.71921993879479,61.47746178098046
MG27,78.43565450261637,52.720235339599306,47.146151498852774
MG28,61.02781945473435,65.33066245991579,60.33061545313589
MG29,69.86247465927099,60.09601138501393,51.87699750304002
MG2,61.84039923176006,53.69358148524365,47.88910382927134
MG30,63.30195528813785,52.1415750000199,56.52196817591989
MG32,59.31739306696346,64.29361208812118,70.56348308477138
