,Score,Order,Family
LjRoot92,0.21818665152040587,Pseudomonadales,Pseudomonadaceae
LjRoot254,0.04994071212671939,Rhizobiales,Rhizobiaceae
LjRoot243,0.041330369329723414,Rhizobiales,Xanthobacteraceae
LjRoot25,0.025871543415821412,Betaproteobacteriales,Burkholderiaceae
LjRoot244,0.02118903362045035,Rhizobiales,Rhizobiaceae
LjRoot229,0.01746944564619227,Rhizobiales,Xanthobacteraceae
LjRoot62,0.016407627770354722,Betaproteobacteriales,Burkholderiaceae
LjRoot28,0.01500256812910177,Betaproteobacteriales,Burkholderiaceae
LjRoot295,0.014299574906130609,Betaproteobacteriales,Burkholderiaceae
LjRoot284,0.013922186016254277,Caulobacterales,Caulobacteraceae
LjRoot24,0.01304455959208838,Micrococcales,Microbacteriaceae
LjRoot22,0.012166703853876675,Betaproteobacteriales,Burkholderiaceae
LjRoot27,0.012160078533517475,Micrococcales,Intrasporangiaceae
LjRoot71,0.01182926959397784,Pseudomonadales,Pseudomonadaceae
LjRoot220,0.01108584134452941,Rhizobiales,Xanthobacteraceae
LjRoot222,0.010780327721703842,Rhizobiales,Devosiaceae
LjRoot54,0.010514380284873897,Pseudomonadales,Pseudomonadaceae
LjRoot83,0.010430990000772012,Betaproteobacteriales,Burkholderiaceae
LjRoot153,0.010279307828362408,Bacillales,Paenibacillaceae
LjRoot259,0.009235493806176387,Caulobacterales,Caulobacteraceae
LjRoot67,0.008936047449916825,Betaproteobacteriales,Burkholderiaceae
LjRoot4,0.008933414394259265,Rhizobiales,Beijerinckiaceae
LjRoot122,0.00875807829483778,Betaproteobacteriales,Burkholderiaceae
LjRoot291,0.008687123781671604,Caulobacterales,Caulobacteraceae
LjRoot183,0.008448018461778142,Betaproteobacteriales,Burkholderiaceae
LjRoot15,0.008417132225748058,Bacillales,Bacillaceae
LjRoot299,0.008393057332001968,Caulobacterales,Caulobacteraceae
LjRoot78,0.008195162553603579,Micrococcales,Micrococcaceae
LjRoot251,0.008112607799391125,Rhizobiales,Rhizobiaceae
LjRoot13,0.0080469262550521,Micrococcales,Micrococcaceae
LjRoot219,0.00798712569738206,Caulobacterales,Caulobacteraceae
LjRoot104,0.007921811825787415,Rhizobiales,Rhizobiaceae
LjRoot17,0.007853473131327235,Caulobacterales,Caulobacteraceae
LjRoot230,0.007812506116228779,Betaproteobacteriales,Burkholderiaceae
LjRoot246,0.007711877308290711,Rhizobiales,Rhizobiaceae
LjRoot80,0.007640019612798212,Corynebacteriales,Mycobacteriaceae
LjRoot245,0.007626571386625565,Rhizobiales,Rhizobiaceae
LjRoot177,0.007425750627119963,Rhizobiales,Devosiaceae
LjRoot29,0.0072623287534700634,Betaproteobacteriales,Burkholderiaceae
LjRoot16,0.007199753167888653,Rhizobiales,Devosiaceae
LjRoot131,0.0071476027304843434,Betaproteobacteriales,Burkholderiaceae
LjRoot9,0.007108379166772567,Rhizobiales,Beijerinckiaceae
LjRoot223,0.0070392568885547626,Betaproteobacteriales,Burkholderiaceae
LjRoot19,0.007034729409013179,Micrococcales,Microbacteriaceae
LjRoot224,0.006927072679812584,Rhizobiales,Rhizobiaceae
LjRoot283,0.006869037997876713,Micrococcales,Micrococcaceae
LjRoot221,0.006610411608389276,Rhizobiales,Rhizobiaceae
LjRoot1,0.0065669501659209786,Betaproteobacteriales,Burkholderiaceae
LjRoot293,0.006494610172332594,Rhizobiales,Xanthobacteraceae
LjRoot97,0.0064289718199200966,Caulobacterales,Caulobacteraceae
LjRoot240,0.006260943555494723,Rhizobiales,Rhizobiaceae
LjRoot149,0.006085619940228241,Flavobacteriales,Flavobacteriaceae
LjRoot82,0.006082376814808919,Flavobacteriales,Flavobacteriaceae
LjRoot162,0.006077620816003829,Pseudomonadales,Pseudomonadaceae
LjNodule209,0.005977636062868932,Rhizobiales,Rhizobiaceae
LjRoot296,0.0058733880543063175,Betaproteobacteriales,Burkholderiaceae
LjRoot20,0.00537661173361548,Betaproteobacteriales,Burkholderiaceae
LjRoot18,0.005355468127771859,Xanthomonadales,Rhodanobacteraceae
LjRoot117,0.005331505263193508,Betaproteobacteriales,Burkholderiaceae
LjRoot72,0.005270541151021967,Betaproteobacteriales,Burkholderiaceae
LjRoot2,0.005216782881567035,Rhizobiales,Rhizobiaceae
LjRoot11,0.004942906312209191,Rhizobiales,Rhizobiaceae
LjRoot5,0.004912391498773909,Bacillales,Staphylococcaceae
LjRoot90,0.004876587173249111,Rhizobiales,Beijerinckiaceae
LjRoot202,0.00487573910806971,Caulobacterales,Caulobacteraceae
LjRoot226,0.004810430363512416,Sphingomonadales,Sphingomonadaceae
LjRoot237,0.004755877336869156,Rhizobiales,Beijerinckiaceae
LjRoot231,0.004690322194757265,Rhizobiales,Rhizobiaceae
LjRoot282,0.004685897612366038,Betaproteobacteriales,Burkholderiaceae
LjRoot257,0.004543973746170155,Rhizobiales,Rhizobiaceae
LjRoot288,0.004500762001045533,Betaproteobacteriales,Burkholderiaceae
LjRoot134,0.004354306898206698,Betaproteobacteriales,Burkholderiaceae
LjRoot12,0.004278019021178925,Micrococcales,Microbacteriaceae
LjRoot10,0.004199696768340973,Rhizobiales,Rhizobiaceae
LjRoot30,0.003940988482635129,Rhizobiales,Rhizobiaceae
LjRoot98,0.0038909854939866333,Rhizobiales,Rhizobiaceae
LjRoot26,0.003824435763537614,Betaproteobacteriales,Burkholderiaceae
LjRoot196,0.0037520572412082396,Betaproteobacteriales,Burkholderiaceae
LjRoot152,0.003620218255388937,Pseudomonadales,Pseudomonadaceae
LjRoot70,0.0034945742680578765,Betaproteobacteriales,Burkholderiaceae
LjRoot277,0.00342188069150425,Pseudomonadales,Pseudomonadaceae
LjRoot227,0.0034151489332988833,Sphingomonadales,Sphingomonadaceae
LjRoot261,0.003286581146625373,Rhizobiales,Beijerinckiaceae
LjRoot21,0.003038339939760077,Xanthomonadales,Xanthomonadaceae
LjRoot145,0.002949801692486926,Rhizobiales,Beijerinckiaceae
LjRoot3,0.0029224411005789254,Rhizobiales,Devosiaceae
LjRoot228,0.00286621432558007,Rhizobiales,Rhizobiaceae
LjRoot248,0.0026890044285597706,Rhizobiales,Rhizobiaceae
LjRoot289,0.002583036307397436,Betaproteobacteriales,Burkholderiaceae
LjRoot258,0.0017784638092071324,Rhizobiales,Rhizobiaceae
LjRoot65,0.0014180991413417043,Betaproteobacteriales,Burkholderiaceae
LjRoot247,0.0009525025124667969,Xanthomonadales,Xanthomonadaceae
