,Mean Distance
Gifu,24.938592427834898
MG100,24.27863522415617
MG101,32.378854175148874
MG102,25.062269678211198
MG103,32.03589309397297
MG104,35.722951619109544
MG105,28.765431894044198
MG106,27.023011304868515
MG107,26.777000309228455
MG109,26.775068609738263
MG10,41.33463426999717
MG110,31.814521611236362
MG111,23.830380524819418
MG112,25.384259927766777
MG113,31.653095076294296
MG115,26.977959522525364
MG116,32.28764188020192
MG117,26.092967466636658
MG118,31.889990642099797
MG119,25.73658939283264
MG11,30.47052211737078
MG120,31.841785592773665
MG121,28.65337281240231
MG122,29.129768030191272
MG123,26.457736519415676
MG124,31.795615092799736
MG125,31.005289265780878
MG126,27.603090843612684
MG127,26.002012528420753
MG128,28.57401286440538
MG129,27.5098542537284
MG12,29.754864524999917
MG130,29.00720145131047
MG131,32.18161849607158
MG132,29.37434889089897
MG133,33.389865929201875
MG134,32.34910309639716
MG135,30.358725483375046
MG136,30.067858959524
MG137,33.319077274988594
MG138,31.447437899454112
MG139,28.70561514105691
MG13,34.26305143527783
MG140,32.11106777472533
MG141,29.502357334429462
MG142,30.454845596613136
MG143,28.203037965831744
MG144,35.267737415975574
MG145,28.494286976542938
MG146,24.73492761118318
MG148,24.39975597872566
MG149,29.563647690464173
MG14,26.84298279372791
MG150,26.292213226041326
MG151,25.993411482467042
MG152,26.460628696008783
MG154,27.29849768655272
MG156,24.57625199883058
MG15,27.792665400470455
MG162,28.833224960825735
MG163,30.278555368840735
MG16,32.52460803964318
MG170,29.561109430422807
MG172,25.90711264388145
MG176,30.34318629190828
MG187,25.908339682761355
MG188,25.979990873061677
MG18,24.51466713052815
MG196,26.75775439588602
MG198,33.36803260901396
MG19,31.207706050367435
MG1,32.23995289024284
MG201,24.40634683038831
MG202,24.814457782725373
MG203,29.718091142586307
MG204,29.48661450415092
MG205,29.17830193744302
MG206,26.85928807559472
MG207,31.871056366490897
MG209,20.35863579884186
MG20,29.32427609185076
MG21,31.44764902698204
MG221,26.915261724819253
MG222,27.93952783829134
MG225,27.141673536775485
MG22,26.635417667908417
MG23,30.307692567321997
MG24,26.03258924922473
MG25,27.532247856321924
MG26,27.58485720861175
MG27,42.435723723354194
MG28,33.072945027141955
MG29,38.48905611087756
MG2,26.326677780525138
MG30,27.332348869145555
MG32,39.26660142681115
MG33,31.54356617795061
MG34,27.62809152533575
MG35,28.440586561556888
MG36,32.067185759327316
MG38,31.201070186303532
MG39,27.83592523809653
MG3,31.973453633453712
MG40,30.05901480852588
MG41,29.79065909076385
MG42,23.97814943500829
MG44,24.6030429888
MG45,28.95281622677506
MG46,34.18999232512079
MG48,27.842090551561892
MG49,24.426089963549728
MG4,35.82846676233149
MG50,30.768312469232544
MG51,31.850796823637705
MG52,21.410192028914704
MG53,26.928438241031166
MG55,32.54097399938016
MG56,31.263490328355957
MG57,37.561865803100744
MG58,35.959234119218735
MG59,28.043693623965783
MG5,30.312702333424014
MG60,40.497343212533856
MG61,35.92021177079434
MG62,30.874040022965712
MG63,28.52162590810857
MG64,27.13120285490009
MG65,32.625166124072685
MG66,30.297706927345377
MG67,40.390836752265294
MG68,29.74964464973594
MG69,28.52116346087763
MG6,24.339296038853927
MG70,41.28814624761732
MG71,31.455111486100275
MG72,33.30355537318114
MG73,31.95228012207025
MG74,32.9039788728524
MG75,23.470434297897427
MG76,37.189262572816546
MG77,28.956843609209525
MG78,34.30615438840314
MG79,31.871984314405747
MG7,41.76261947457629
MG80,27.121944678261034
MG81,31.006118085510757
MG82,32.83243130699949
MG83,30.070667290705153
MG84,26.15545297496213
MG85,28.309934339544142
MG86,30.681283833089342
MG88,25.82683789184852
MG89,31.511432321343023
MG8,46.7078778853625
MG90,28.930214120029948
MG91,30.641035976374912
MG92,23.213581476324702
MG93,26.195705120303742
MG94,28.617259070333816
MG95,25.220941795251502
MG96,24.167003559193063
MG97,32.324880184959056
MG98,31.903305046792873
MG99,32.98843119719393
MG9,26.425397256490733
