,score_1,score_2,score_3
Gifu,27.049288286105398,-24.457754751815642,-24.7234126882803
MG100,34.29455038240567,-12.687781403551208,-14.079066564888734
MG101,40.52097106587414,-31.963988204967716,-11.902230943263643
MG102,40.387992244388805,-17.192120903276408,-28.082044919849
MG103,38.15917100111498,-7.703393448383361,-23.18393548796446
MG104,24.257417490304473,-33.4824358589542,-14.538589840022789
MG105,38.448833925867184,-30.942733055547272,-4.8158455678746686
MG106,38.9959280605048,-30.981478622294137,-5.9098303434024055
MG107,30.059297232668364,-30.32078883271964,-17.706537597091273
MG109,42.4549745930755,-33.47494859073073,-20.175503683017546
MG10,47.01226030761396,-23.94256194279975,-32.15163393032951
MG110,38.94594806304321,-24.253120962503885,-5.577924413407032
MG111,39.02715864340591,-34.051083667063466,-15.963948643514813
MG112,32.75300687131972,-29.406492674888685,-10.969004427552017
MG113,23.281946111346972,-34.63536498117144,-17.641235003794716
MG115,33.78298113771729,-29.01472875491258,-11.714892836047392
MG116,34.95104929279156,-29.78635907430615,-5.571629235667861
MG117,28.92278254254347,-28.263730321145022,-10.727122925540511
MG118,55.082704112983635,-35.50657171892708,-25.413294639153396
MG119,49.406526339993036,-18.837644856487668,-13.537664313121283
MG11,53.60059365103404,-23.3240755836352,-22.371445281647244
MG120,40.347083732402204,-21.910708995881496,-16.96992056793124
MG121,50.60651088015287,-23.374604183338324,-18.08638725943875
MG122,31.713640167096855,-28.36132384101189,-20.550609484227753
MG123,44.373470173557585,-21.231370387024253,-19.474062721649567
MG124,27.660808796703083,-12.705529358502833,-18.857442929422533
MG125,26.20726269893795,-19.995393914324953,-21.248531805123037
MG126,36.7921933943815,-7.425820121919521,-20.133376339989965
MG127,50.892762876257194,-23.960990881541782,-20.053017382941245
MG128,43.99663858081168,-25.621595476119612,-25.007621801626197
MG129,40.86779483434946,-21.32266202096737,-25.827527086164835
MG12,49.009590513818175,-17.917901645662727,-9.7942634640422
MG130,46.34025566201997,-22.52743332937561,-25.008989626457016
MG131,41.873158665105855,-27.866005652961572,-27.858045577250333
MG132,45.740067047233815,-19.340344164990743,-30.041638443690083
MG133,42.320819637440366,-16.42284013547801,-26.990599425195324
MG134,49.06424200091515,-17.239731452363475,-29.617998643269196
MG135,36.59317481741598,-3.642747174296564,-25.187211839600337
MG136,35.06923786106579,-10.965926585852296,-25.232659227560404
MG137,50.10067997753406,-10.196699472825841,-24.018972429429166
MG138,47.43910472496397,-23.857196023517425,-16.296459026364197
MG139,41.54037014273241,-26.84470527215417,-13.441513479869313
MG13,48.768105784685034,-20.339979183316,-10.35485584101624
MG140,52.179540679798635,-15.102275031171523,-18.990884601649466
MG141,44.87485136346875,-6.798938294962996,-25.548245124067286
MG142,40.13219207011857,-22.933038555796553,-20.25197201186273
MG143,51.00156468704596,-14.9799841545125,-15.30589088887217
MG144,33.44634753678154,-42.45403209295062,-11.243789297281655
MG145,49.60938088582686,-19.99309413674523,-6.546509194684135
MG146,43.18276791975187,-3.5911622284762457,-11.25922461382892
MG148,36.5867522903329,-9.920330026398307,-21.986104703050774
MG149,28.46700136989135,-14.639574647130205,-20.6700412402379
