,score_1,score_2,score_3
Gifu,0.45003989504297126,0.1423328452489825,0.5529130332891413
MG100,0.9389451403428368,-0.03525529417019635,0.18215410858477704
MG101,1.2169977973194097,1.003376154288759,1.3564704585931056
MG102,0.5472196349639116,0.39880178007370504,-0.2348220286788517
MG103,0.8281145156459568,-0.17945476364196378,0.641961525237179
MG104,1.0479689339479763,0.5272202017108368,1.0285054684770598
MG105,0.6026880360030377,0.752555419305643,-0.36548535185987696
MG106,1.1016478097968534,1.5006484581846307,-0.09758706562719122
MG107,0.7298020095611217,1.3442020543395057,0.3429513039365266
MG109,0.9032316851967487,1.0564932659615835,0.23794292573901837
MG10,1.4215939225975873,0.19093177408143358,1.4884241272242693
MG110,1.1909890241107126,1.4287903615559174,0.3471371018966737
MG111,0.9087129768129082,1.2284433263790844,-0.011866374607936936
MG112,0.9060230555197349,0.9338142029760903,-0.6107421578379911
MG113,1.0667796062071537,1.1120423042802199,0.32634436573980813
MG115,1.1513762324018972,0.8572762710941331,-0.26803678941346687
MG116,0.6231056669839166,1.2566035827832736,-0.16056884567209795
MG117,1.2611243490159327,0.602215863533468,0.05206254543033412
MG118,1.0113429124215494,2.3526549531063847,0.47626641318986973
MG119,1.6948073838530302,0.8042486059197014,0.40451731884141673
MG11,0.7667958654029268,0.4281521262753508,1.5147710487494068
MG120,1.4076600612168924,1.046039085275043,0.550260678878024
MG121,1.5021273148701395,1.3219754253051836,0.692404071674042
MG122,1.4273848347644829,0.8267623059027789,0.403408899026222
MG123,2.063714684636129,0.6449628946764981,0.1581439347162164
MG124,1.5717342181583671,0.25584141152869533,0.546239575630594
MG125,1.765903608631286,0.6199827339752211,0.002485327964697248
MG126,1.5702301408067254,0.8794132558040757,0.7246888500199125
MG127,-0.326464972843746,1.2440785357687099,0.6094957836872167
MG128,-0.1956242796455363,1.5166952029255105,0.9176911407841796
MG129,-0.09931126329020912,1.0522837561158038,0.8540028318153143
MG12,0.3074037085537573,-0.2890871085633301,1.116417605357608
MG130,-0.6269834584916426,1.5397989619283852,0.45640653499753353
MG131,-0.46996374533701635,1.5113527936421123,0.752377748707718
MG132,-0.48904792411408915,1.3845363035124223,0.755472739172953
MG133,-0.3910173191514701,0.9509079557541716,1.033832808876483
MG134,-0.7797082329571569,0.696406189472123,1.2164341179324125
MG135,-0.670298285775414,0.05468196474400139,0.8690301095124575
MG136,-0.5151770512207573,0.03954938658967394,1.3410464553189316
MG137,-0.8315420365732996,0.8525070958351212,1.1785952178891348
MG138,-0.6060501835460163,0.6051280010070902,0.6167434347434515
MG139,-0.5940981027269977,0.2457217835447975,0.9274353926044991
MG13,0.7016062262824695,-0.49219172723770266,1.3121523015833683
MG140,-0.2729200996888971,0.37831429609155665,1.438218443253913
MG141,-0.48022980029372986,-0.03912833596118093,1.6167661073433908
MG142,-1.0435534177692891,0.8839338725642019,1.161788047252466
MG143,-0.5845555181828287,-0.05172158535490867,0.36913212897115777
MG144,-0.3720135477878955,0.8365212692625306,0.8592543345478945
MG145,-0.8936719060038071,0.9242327130236976,0.18768231183445966
MG146,-1.2276787810793421,-0.30199947225265644,0.3500988129409041
MG148,-0.7860950268134713,0.07257957073808091,0.3451621044197517
MG149,-0.6835621609564412,0.34306987997171956,0.4846193595080771
MG14,0.4500166381464034,0.18770155633581787,0.27369345521410865
MG150,-1.095551891575178,-0.20212231056747565,0.35103507154016356
MG151,-0.6791598206658426,-0.20301820148586802,0.3280559780859693
MG152,0.42856494417772467,0.6740354897719386,0.5446644801114235
MG154,-0.223760166895408,0.36002389531437184,0.06366553487447157
MG156,-0.3825083448265538,-0.16713555750448672,0.4708942104745879
MG15,0.724078127821072,-0.27363143066408513,0.30228289360901406
MG162,-0.6653626214494427,0.04308064196602113,0.4832501565238517
MG163,-0.04340358689689927,0.42277075397186475,0.8492985186642733
MG16,0.6760858605004454,-0.12109357579711644,0.646487055792037
MG170,-0.30077306142054416,0.4782145633617122,0.7232628007200639
MG172,-0.41881331881027273,-0.1206617834664726,0.3336493783939519
MG176,-0.3600733503279404,0.04017102710996201,0.5245873156144095
MG187,-0.2148700849325068,-0.20495113822138422,-0.013251247431845248
MG188,-0.021871033030659848,0.07993618152120585,-0.06893307756821376
MG18,0.6097882139509382,0.13020155823976864,0.39544319280537354
MG196,0.7402285874703474,0.44809974551840676,-0.16514792980659354
MG198,0.21542132289327331,-0.41202477353309397,0.42848639384369225
MG19,0.5236253636846171,-0.6681108902904761,0.4257751013958045
MG1,0.8576830889928669,0.6267510002085096,0.48887415638266496
MG201,0.45771205329335496,-0.02416345300571554,-0.04955812194195819
MG202,0.3888015104672372,0.40126931716435343,0.07945956122436715
MG203,0.5309816658843262,-0.5147075836248377,0.4551266861335152
MG204,0.4636428302720887,0.004448364018380779,0.7106796064328561
MG205,0.41623552494310034,-0.8814920262621523,-0.37716919390755277
MG206,1.3359941140364797,-0.32529199058144986,0.14634412791028334
MG207,-0.3020335222394326,0.2019283687451029,-0.02060851998745339
MG209,-0.2244526465825014,-0.22531618471981107,-0.16113729610946725
MG20,0.26801500138469664,-0.1710372239744854,0.4077220529597159
MG21,0.30723587370330746,-0.20198136766315378,0.1753661206606298
MG221,0.5403143153985638,0.634494633277639,0.23037519394600664
MG222,-0.17784907498920832,0.7466708330664462,0.7063921737401154
MG225,0.49795900555801687,-0.11836278559074564,-0.06298954308729976
MG22,0.4823223242853458,-0.2194180868704637,0.01865719780502928
MG23,0.7097466785974138,0.015640667182007073,0.5247249063927094
MG24,0.248764384660574,-0.346150224278983,0.0691626070411192
MG25,0.7067101348106316,-1.0955529071577663,0.061324076655829785
MG26,0.25168936320800184,-0.8489225757100763,0.4261706402284158
MG27,0.9236086750959205,-0.7035647860952153,0.6090645666901526
MG28,0.3527986715015659,-0.5771858604464316,0.20464699101384037
MG29,0.27877164842352203,-0.5978927017184151,0.2288320237122649
MG2,0.9980399254217007,0.4690595390444162,0.6704870989171356
MG30,0.3668578340023839,-0.894040330893871,0.253144997055829
MG32,0.10887482679517124,-0.47426062407872005,1.2894832774014802
MG33,0.15760257710103254,-1.0304511016964857,0.8267520054961665
MG34,0.681919594042871,-0.7657360093649773,-0.4288363191254321
MG35,0.5799050229782573,-0.9579176286727077,0.14474895517720315
MG36,0.9880763320116399,-0.24590218405917175,0.3618732900764319
MG38,0.37859148838025786,-1.005047849642625,-0.45435061984917824
MG39,0.5557576518507815,-0.8429051071726904,0.46666079467932686
MG3,0.7017519552035145,1.1630645030923144,0.7157795137941445
MG40,0.496035857639868,-0.459443172250522,0.7745444149914891
MG41,0.3767615419822815,-0.7086700262826217,0.4129644417616003
MG42,0.5191894742779583,-0.5829365460558432,0.6958721119965249
MG44,0.7012426264972201,0.087070899393835,0.3830810279098402
MG45,0.9469503366710834,-0.16189623173154033,0.0694048189029906
MG46,0.545257352095474,0.7012299268293296,0.20934243190898938
MG48,0.9896588257574722,-0.31445206896087297,-0.2934206940149955
MG49,1.1443957183354596,1.1474545335276938,-0.28159643466426576
MG4,0.6707308917083236,2.210282767583694,1.1311690743954748
MG50,0.7412768853956186,1.142061459441249,0.3300911830775706
MG51,1.2143382003635406,1.2863944853547522,-0.3984546863876912
MG52,1.323616179584088,0.6880938475543963,0.32323570375899996
MG53,1.076109300607115,0.017433551975061468,0.532208833480003
MG55,1.1015206434558849,0.46616763560918034,0.9699256165531158
MG56,0.8991776339661095,1.118724687716146,-0.14356279081167433
MG57,1.4594353248723921,0.9737077791295184,1.205679217873593
MG58,1.8193189135217147,0.4525596222089041,0.4173014885781803
MG59,0.9268203329339624,0.3135061434369836,0.719702025130496
MG5,0.8318915459154329,0.9381580458359433,1.5546128033058828
MG60,1.3800314533619944,2.6748455323154166,0.8367393212462625
MG61,0.793861844626961,2.598955277456768,-0.07009554263654005
MG62,0.96368638885558,1.5994016959387745,0.18333229320125494
MG63,0.8877738293237083,0.8222979325197015,0.402633269315987
MG64,0.706050791718331,1.5382188711173344,0.08931205894049304
MG65,0.7016851661966419,0.9519529710585883,1.2471029226035504
MG66,0.912068185987502,2.027504806663009,1.0137463896653776
MG67,0.8298581601607341,1.3367551987943145,0.9256784009190296
MG68,0.7612323122365745,1.6022405478566917,0.7921636295001891
MG69,1.0909966119350294,1.5225370125688893,0.13566423649417597
MG6,1.051503424823077,0.2176183905033366,1.1779953378310424
MG70,0.9034586596330546,3.598254421476112,1.0847528739596075
MG71,0.9522601176360265,2.0548269246338484,1.027688712468457
MG72,0.7945220152440671,0.7718616618158032,1.2653985396716263
MG73,0.31990002315789273,0.37443609825636337,1.3280291487971352
MG74,0.8864829217134238,1.9517826692408247,1.3247073218030245
MG75,1.1017878597828927,0.9011504800851585,0.6236735053057626
MG76,1.363411837169361,1.0540214519993314,1.1525165365945016
MG77,0.04458578620980491,0.4852096402403236,1.4282228774111871
MG78,0.582163215093332,0.8609809957132493,0.9499109268654102
MG79,0.6060713852803847,1.2871230339531643,1.0859267582385286
MG7,0.7537244347378367,0.1489445125718174,3.2050456267515814
MG80,0.70240507121091,0.4479968787663065,-0.17862491158577531
MG81,0.9377594389209805,1.175668781815244,-0.16577101908502834
MG82,0.7046347772245062,1.4965168482455549,0.621221517561812
MG83,0.8887848364058336,1.2648116495187254,0.31633552953398797
MG84,0.3603882222327326,0.5615269894328381,-0.20896762174936545
MG85,0.5467756232288248,0.9655605040345241,0.7920832048651454
MG86,0.6155324888006866,1.4063545063204845,0.384043776270572
MG88,0.5545848212812002,1.4260058227018457,0.43615997460547345
MG89,0.8468081457407358,2.043072850542371,1.5306051867919135
MG8,0.9749010314678811,0.5709803830065043,4.110898740444177
MG90,0.6185847601089256,1.8930122907420022,0.21546055860880198
MG91,0.8661465408622095,0.9995099956502864,1.0912007888853474
MG92,0.7889223598959335,0.4982499599585684,0.8308398350806305
MG93,0.6215743256392493,0.5953952244161513,0.5992417884466693
MG94,0.7921397897797239,-0.22717220268377492,0.30455521543325637
MG95,0.7049296970045603,0.4684760177700662,0.6458843267959915
MG96,1.0015742360493962,0.5027685769543755,0.35633804158648563
MG97,1.2104361449425258,1.781621879638668,-0.19457715373353235
MG98,1.0633936033817353,1.1498612242531623,0.1786965525308326
MG99,1.5817737601309814,0.9727814478623,0.7536334607369989
MG9,0.5971795942048634,0.5421437561830211,0.7279802366312415
